geo_name,smoking_2015,smoking_2016,id,state,poverty_2015,poverty_2016
"Shelby County, OH",0.192,0.192,39149,OH,0.10250170148699651,0.09538818845388189
"Stark County, OH",0.21899999999999997,0.19399999999999998,39151,OH,0.14686582344931673,0.1411128788023998
"Summit County, OH",0.187,0.201,39153,OH,0.14757293939524702,0.14252099956620615
"Trumbull County, OH",0.247,0.204,39155,OH,0.17261975396542859,0.17479280221010976
"Tuscarawas County, OH",0.221,0.177,39157,OH,0.1397153804050356,0.1356825779580205
"Union County, OH",0.185,0.184,39159,OH,0.08701225863312234,0.07864410813812801
"Van Wert County, OH",0.179,0.19,39161,OH,0.12838801711840228,0.1230950426496306
"Vinton County, OH",0.205,0.228,39163,OH,0.2071783123329515,0.21253552500192027
"Warren County, OH",0.141,0.161,39165,OH,0.055623677855364394,0.05377832057098543
"Washington County, OH",0.19899999999999998,0.207,39167,OH,0.16444922880258356,0.15662203009169354
"Wayne County, OH",0.172,0.18600000000000003,39169,OH,0.13243238392648826,0.12696951551929075
"Williams County, OH",0.235,0.20199999999999999,39171,OH,0.14908104517271922,0.1439937684304234
"Wood County, OH",0.145,0.18,39173,OH,0.14317810959959984,0.13725730535399097
"Wyandot County, OH",0.268,0.171,39175,OH,0.11777757652599166,0.1110049588280788
"Adair County, OK",0.304,0.293,40001,OK,0.26907282350793943,0.3010590705742719
"Alfalfa County, OK",0.203,0.19399999999999998,40003,OK,0.12904599659284496,0.12455064495665046
"Atoka County, OK",0.225,0.23399999999999999,40005,OK,0.22468837957378368,0.21996892632267562
"Beaver County, OK",0.28600000000000003,0.16399999999999998,40007,OK,0.09039132831159287,0.10142777674763583
"Beckham County, OK",0.272,0.2,40009,OK,0.12976029157516003,0.14036875752802744
"Blaine County, OK",0.203,0.182,40011,OK,0.16052141527001862,0.14114743985194325
"Bryan County, OK",0.259,0.22899999999999998,40013,OK,0.18343972962823882,0.17525007542878362
"Caddo County, OK",0.265,0.228,40015,OK,0.21249511076343205,0.2076817170897024
"Canadian County, OK",0.209,0.17800000000000002,40017,OK,0.07258656724848896,0.08039171031655659
"Carter County, OK",0.228,0.223,40019,OK,0.15252137021401718,0.1552951552951553
"Cherokee County, OK",0.263,0.256,40021,OK,0.22608695652173913,0.22380818905107916
"Choctaw County, OK",0.271,0.243,40023,OK,0.2880606019977207,0.28504043126684636
"Cimarron County, OK",,0.184,40025,OK,0.17929839757470767,0.15711727842435094
"Cleveland County, OK",0.209,0.19,40027,OK,0.12747890787958033,0.12540749835461112
"Coal County, OK",0.228,0.23,40029,OK,0.2072339681984973,0.19643172584349056
"Comanche County, OK",0.29600000000000004,0.22,40031,OK,0.17635844482975768,0.1678804806529362
"Cotton County, OK",0.31,0.204,40033,OK,0.17250041869033664,0.16145921297078197
"Craig County, OK",0.21100000000000002,0.22699999999999998,40035,OK,0.1902002861230329,0.17672010928176002
"Creek County, OK",0.315,0.215,40037,OK,0.15510514387354046,0.15033747474313228
"Custer County, OK",0.162,0.192,40039,OK,0.16742576061213335,0.16092825176844233
"Delaware County, OK",0.248,0.235,40041,OK,0.2036460758128936,0.19793400567903652
"Dewey County, OK",0.198,0.187,40043,OK,0.1663500105552037,0.18079932332417
"Ellis County, OK",0.20199999999999999,0.18600000000000003,40045,OK,0.1452991452991453,0.1535635562086701
"Garfield County, OK",0.235,0.193,40047,OK,0.1299333123727888,0.13127375018506637
"Garvin County, OK",0.252,0.213,40049,OK,0.18593836501199484,0.18621905531477265
"Grady County, OK",0.273,0.204,40051,OK,0.12682224033667608,0.12715164512670016
"Grant County, OK",,0.162,40053,OK,0.09752778407802223,0.09146897810218978
"Greer County, OK",0.306,0.19899999999999998,40055,OK,0.14580440388811744,0.1900695134061569
"Harmon County, OK",,0.203,40057,OK,0.17478197674418605,0.1601923788383278
"Harper County, OK",,0.177,40059,OK,0.13955984970477725,0.13835144447389344
"Haskell County, OK",0.139,0.22,40061,OK,0.19791421626284011,0.20232667819525232
